,Inflow rate,Stenosis amplitude,Stenosis width
234,0.800000,0.100000,0.228571
235,0.800000,0.100000,0.243057
236,0.800000,0.100000,0.257143
237,0.800000,0.100000,0.271629
238,0.800000,0.100000,0.285714
239,0.800000,0.100000,0.300000
240,0.800000,0.128571,0.100000
241,0.800000,0.128571,0.114286
242,0.800000,0.128571,0.128571
243,0.800000,0.128571,0.142857
244,0.800000,0.128571,0.157143
245,0.800000,0.128571,0.171629
246,0.800000,0.128571,0.185714
247,0.800000,0.128571,0.200000
248,0.800000,0.128571,0.214286
249,0.800000,0.128571,0.228571
250,0.800000,0.128571,0.243057
251,0.800000,0.128571,0.257143
252,0.800000,0.128571,0.271629
253,0.800000,0.128571,0.285714
254,0.800000,0.128571,0.300000
255,0.800000,0.157143,0.100000
256,0.800000,0.157143,0.114286
257,0.800000,0.157143,0.128571
258,0.800000,0.157143,0.142857
259,0.800000,0.157143,0.157143
260,0.800000,0.157143,0.171629
261,0.800000,0.157143,0.185714
262,0.800000,0.157143,0.200000
263,0.800000,0.157143,0.214286
264,0.800000,0.157143,0.228571
265,0.800000,0.157143,0.243057
266,0.800000,0.157143,0.257143
267,0.800000,0.157143,0.271629
268,0.800000,0.157143,0.285714
269,0.800000,0.157143,0.300000
270,0.800000,0.185714,0.100000
271,0.800000,0.185714,0.114286
272,0.800000,0.185714,0.128571
273,0.800000,0.185714,0.142857
274,0.800000,0.185714,0.157143
275,0.800000,0.185714,0.171629
276,0.800000,0.185714,0.185714
277,0.800000,0.185714,0.200000
278,0.800000,0.185714,0.214286
279,0.800000,0.185714,0.228571
280,0.800000,0.185714,0.243057
281,0.800000,0.185714,0.257143
282,0.800000,0.185714,0.271629
283,0.800000,0.185714,0.285714
284,0.800000,0.185714,0.300000
285,0.800000,0.214286,0.100000
286,0.800000,0.214286,0.114286
287,0.800000,0.214286,0.128571
288,0.800000,0.214286,0.142857
289,0.800000,0.214286,0.157143
290,0.800000,0.214286,0.171629
291,0.800000,0.214286,0.185714
292,0.800000,0.214286,0.200000
293,0.800000,0.214286,0.214286
294,0.800000,0.214286,0.228571
295,0.800000,0.214286,0.243057
296,0.800000,0.214286,0.257143
297,0.800000,0.214286,0.271629
298,0.800000,0.214286,0.285714
299,0.800000,0.214286,0.300000
300,0.800000,0.242857,0.100000
301,0.800000,0.242857,0.114286
302,0.800000,0.242857,0.128571
303,0.800000,0.242857,0.142857
